audio_file,speaker,start_time,end_time,raw_text,segment_id
mukesh,mukesh,207.0,226.0,"त्यसको लागि चाहिँ हाम्रो दुइटा जुन लिएका छौँ हामीले Lagrange multiplier alpha I र alpha J, त्यसमा चाहिँ यदि त्यो दुइटाको... [noise] भाइ छोड्देउ यो output देउ। [noise] हजुर? हैन उसलाई छोड्नु भाइहरुले गर्छ।",mukesh_010
mukesh,mukesh,226.0,238.0,"अ हाम्रो interface चाहिँ यस्तो रहेको छ। अब यसमा हामीले data हरू हाम्रो 13 ओटा different features हरू छन्। Age, sex, chest pain type अनि different blood pressures हरू। त्यसमा चाहिँ हामीले prediction गर्ने भयौँ।",mukesh_011
mukesh,mukesh,238.0,264.0,So यसको prediction मा चाहिँ heart disease detected भनेर चाहिँ prediction मा आयो। त्यही अनुसार output चाहिँ... त्यही value देखि नै data set देखि नै लिएको हो त्यो चाहिँ हामीले। [noise] Zoom गर। Zoom गर न जुम। Zoom गर। [noise],mukesh_012
mukesh,mukesh,264.0,285.0,Fit गर्नको लागि चाहिँ first मा हामीले यो SVM को लागि चाहिँ fit भन्ने function मा चाहिँ जुन हामीले X_i र W लाई लिएका छौँ त्यसलाई चाहिँ dot product गरेर चाहिँ त्यसको value compare गर्छौँ greater than equal to 1 छ कि छैन भनेर। त्यो अनुसार चाहिँ हामीले prediction गरेर चाहिँ condition लगाइरहेको छौँ।,mukesh_013
mukesh,mukesh,285.0,309.0,[silence] अ हाम्रो अब results चाहिँ यस्तो खालको छ। पहिला सुरु linear case को लागि चाहिँ training मा 85 छ भने test मा 78 छ। र त्यसमा हामीले अब test मा चाहिँ improve भएको छ जब हामीले चाहिँ RBF वाला model चाहिँ use गरेका छौँ।,mukesh_014
mukesh,mukesh,309.0,332.0,"यो चाहिँ variation of accuracy with gamma हो। gamma भनेको नि हाम्रो अर्को hyperparameter हो। त्यसमा चाहिँ हामीले जब gamma को value चाहिँ increase गर्दै गएका छौँ तब चाहिँ त्यो हाम्रो जुन defining surface छ त्यो चाहिँ झन् धेरै complex हुँदै गएको हुँदाखेरि त्यसले चाहिँ overfit गर्न सक्छ, memorize गर्दिन्छ data लाई।",mukesh_015
mukesh,mukesh,332.0,365.0,त्यही भएर चाहिँ हाम्रो test accuracy चाहिँ gamma को value बढाउँदाखेरि घट्दै गइरहेको छ। Training accuracy त त्यसले overfit गरेर 100% नै भएको छ। यो अब अरु भइहाल्यो। [noise] अ SVM को बारेमा कसैलाई सोध्नु छ? [silence],mukesh_016
praja,praja,0.0,13.0,"So हाम्रो topic चाहिँ fuzzy logic हो हैन। [silence] अ [noise] fuzzy logic भनेको चाहिँ कुनै पनि एउटा discrete, discrete या crisp value लाई चाहिँ अ के भन्छ, fuzzy degree मा convert गर्ने हो हैन।",praja_000
praja,praja,13.0,30.0,"And अ यसले, यसले गर्दा खेरि चाहिँ एउटै variable चाहिँ at the same time multiple categories लाई चाहिँ divide गर्न मिल्छ।",praja_001
praja,praja,30.0,39.0,"[silence] अ unlike Boolean logic हैन, अ जुनमा चाहिँ just true or false मात्र record हुन्छ, extremity मात्र record हुन्छ।",praja_002
praja,praja,39.0,53.0,"Fuzzy logic ले चाहिँ त्यो true or false 0 to 1 को बिचमा हुने value हरुलाई पनि determine गर्छ र store गर्छ, त्यसले चाहिँ better analysis गर्न help गर्छ।",praja_003
praja,praja,53.0,63.0,"अनि अ हामीले चाहिँ fuzzy logic use, implement गरेर चाहिँ traffic light controller develop गरेका छौं। अनि यसको input variable हरु चाहिँ traffic density र waiting time हो।",praja_004
praja,praja,63.0,79.0,अनि output variable चाहिँ अ त्यो दुइटा variable को आधारमा चाहिँ green light चाहिँ एउटा signal मा चाहिँ कति time on हुनु पर्छ भनेर चाहिँ duration चाहिँ return गर्छ।,praja_005
praja,praja,79.0,95.0,"So, as my friend told, the two inputs were traffic density and waiting time, and the output was to calculate the green duration. [silence] So, so for, for that purpose, we had first set the initial values for traffic density and waiting time which we could see in the code.",praja_006
praja,praja,95.0,111.0,"So here we have the density membership function and the waiting membership function and the green membership function. [noise] So these were, these two density and the waiting membership functions provided the initial fuzzy logic representation for the data.",praja_007
praja,praja,111.0,119.0,"So, so the initial representation looked like this: the traffic density being this and the input waiting time being this. And now with the live controller, we could switch the values between these two parameters.",praja_008
praja,praja,119.0,132.0,"So, so we have these parameters, so this is a slider and we could switch the value. [silence] And, and based on this, we would get the normal green light.",praja_009
praja,praja,132.0,145.0,"So how the procedure works is when we switch this value, this is a crisp value, so it is not yet in the fuzzy logic section. So for this, we can see this in the membership function.",praja_010
praja,praja,145.0,163.0,"We see we have selected a value for the traffic density here; it is around 25, and now we have to convert this into the fuzzy logic and the representation we have set. [noise] So here we can see the representation would be touching the low for traffic density.",praja_011
praja,praja,163.0,174.0,"And, and for the waiting time, there, there would be two representations we can see here is, here is the mixture of medium and long. And, and after the representation is set, after the representation is set, then we will, we will evaluate these parameters against each other.",praja_012
praja,praja,174.0,188.0,"So here we can see there is one, one value for the traffic density, and there are two values for the waiting time. So we would be using the Mamdani fuzzy inference for this purpose.",praja_013
praja,praja,188.0,199.0,"And after, after that, after we have done that, we can use separate rules for this. [silence] And, and for one rule, and for one rule, we can take one value of traffic density and waiting time and we can find the minimum value.",praja_014
praja,praja,199.0,211.0,"We can find the minimum value, minimum membership value among these two parameters. And after that, there is another value of, another value of waiting time and traffic density, and we can find the minimum value of this.",praja_015
praja,praja,211.0,222.0,"And then with these two minimize, minimum values, we can go on to the output, output fuzzy logic representation and, and do the further tasks which would be, which would be explained by my friend Ayush.",praja_016
praja,praja,222.0,234.0,"So एकचोटी demo चाहिँ हेरौ है सबैले। साथीले नि अलिअलि भनिसक्यो, एकचोटी अब यो preset scenario हरु छन् हाम्रो। [noise] अघि जस्तै input पनि दिन त मिल्छ तर यो scenario हरु पनि छन्।",praja_017
praja,praja,234.0,242.0,Scenario मा चाहिँ एउटा अब rush hour को time मा हेरौ। हाम्रो input चाहिँ 52 vehicles per minute छ अनि waiting time चाहिँ 72 seconds छ पहिले। [silence] त्यसो भए चाहिँ अब preset हरु set भइसक्यो।,praja_018
praja,praja,242.0,268.0,"त्यो अनुसार चाहिँ हाम्रो green चाहिँ कति हुनुपर्छ भन्दा खेिर चाहिँ 31 51.2 seconds छ। त्यो चाहिँ average हाम्रो 20 second भन्दा चाहिँ 31 second ले धेरै छ। यसमा चाहिँ दुइटा rule हरु activate भएको छ हाम्रो। अ rule activation हरु चाहिँ एउटा चाहिँ हाम्रो अ यो के रे traffic लाई के रे density, traffic density चाहिँ medium भएको अनि waiting time long भएको, दुइटा यो एउटा condition भयो। त्यसपछि अर्को चाहिँ traffic density high छ, waiting time पनि long छ भनेर चाहिँ very long निकाल्नु पर्यो।",praja_019
praja,praja,268.0,289.0,"यो चाहिँ हाम्रो rule activation हरु भयो अनि यही अनुसार चाहिँ calculation हुन्छ हाम्रो membership function हरु। Output मा चाहिँ हाम्रो very long नै हो तर हामीले चाहिँ यसमा चाहिँ COG, center of gravity use गरेका छौं output को लागि। यसमा चाहिँ हामीले यसको formula चाहिँ integration of centroid times अ हाम्रो area छ plus ए upon integration of area छ। यही अनुसार चाहिँ हाम्रो output हरु चाहिँ यसरी नै आउँछ।",praja_020
